"Tahmin Tarihi","Kurum","Analist","Format","Varlık","Vade","Hedef Tarihi","Hedef Fiyat","Analiz Tezi","Benchmark","Tahmin tarihindeki Fiyat","Beklenen Getiri %","Gerçekleşen Fiyat","Gerçekleşen Getiri %","Hedef Yön","Öneri","Yön İsabeti","Hedef Yakınlığı","Tahmin Doğruluğu","Error (MAPE)","Başarı Skoru","Ref. Beklenen Getiri %","Ref. Gerçekleşen Getiri %","Alpha","RefAlpha"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+1M","2025-07-23","1.1600","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1500","+0.87%","1.1700","+1.74%","Yukarı","Slightly Bearish","1","91.4","100","0.86%","86.5 (A)","+1.76%","+1.74%","-0.89%","-1.03"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+3M","2025-09-23","1.1800","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1500","+2.61%","1.1800","+2.61%","Yukarı","Slightly Bearish","1","100.0","100","0.00%","86.4 (A)","+6.22%","+2.61%","-3.61%","-1.38"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+6M","2025-12-23","1.2000","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1500","+4.35%","1.1700","+1.74%","Yukarı","Bearish","1","75.0","75","2.50%","73.7 (B)","+10.65%","+1.74%","-6.30%","-1.45"
"2025-06-23","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+12M","2026-06-23","1.2200","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1500","+6.09%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+1M","2025-08-22","1.1700","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+0.00%","1.1700","+0.00%","Sabit","Neutral","1","100.0","100","0.00%","88.4 (A)","+1.61%","+0.00%","-1.61%","-32.13"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+3M","2025-10-22","1.1900","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+1.71%","1.1650","-0.43%","Yukarı","Neutral","0","79.0","0","2.10%","33.5 (F)","+1.95%","-0.43%","-0.24%","-0.14"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+6M","2026-01-22","1.2100","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+3.42%","1.1600","-0.85%","Yukarı","Bearish","0","58.7","0","4.13%","19.0 (F)","+12.04%","-0.85%","-8.62%","-2.52"
"2025-07-22","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+12M","2026-07-22","1.2300","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+5.13%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+1M","2025-09-19","1.1700","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+0.00%","1.1800","+0.85%","Sabit","Neutral","0","91.5","0","0.85%","37.0 (F)","+0.43%","+0.85%","-0.43%","-8.58"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+3M","2025-11-19","1.1900","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+1.71%","1.1600","-0.85%","Yukarı","Slightly Bearish","0","74.8","0","2.52%","30.3 (F)","+3.89%","-0.85%","-2.18%","-1.28"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+6M","2026-02-19","1.2100","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+3.42%","1.1900","+1.71%","Yukarı","Bearish","1","83.5","75","1.65%","73.8 (B)","+12.13%","+1.71%","-8.71%","-2.55"
"2025-08-19","Danske Bank","Mohamad Al-Saraf","PDF","EUR/USD","+12M","2026-08-19","1.2300","ABD dolarında yapısal zayıflık, EUR/USD yükseliş beklentisi","EUR/USD","1.1700","+5.13%","⏳","⏳","Yukarı","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳","⏳"
