Tahmin Tarihi,Kurum,Analist,Format,Belge Adı,Varlık,Vade,Hedef Tarihi,Spot Fiyat,Hedef Fiyat,Analiz Tezi,Gerçekleşen Fiyat,Sapma (pip),Yön İsabeti
2025-06-23,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/USD,+1M,2025-07-23,1.1500,1.1600,Yapısal USD zayıflığı ile EUR/USD yükselişi sürecek; ABD varlıklarından çıkış trendi destekliyor,1.1700,100 pip (0.86%),✅
2025-06-23,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/USD,+3M,2025-09-23,1.1500,1.1800,Yapısal USD zayıflığı ile EUR/USD yükselişi sürecek; ABD varlıklarından çıkış trendi destekliyor,1.1800,0 pip (0.00%),✅
2025-06-23,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/USD,+6M,2025-12-23,1.1500,1.2000,Yapısal USD zayıflığı ile EUR/USD yükselişi sürecek; ABD varlıklarından çıkış trendi destekliyor,1.1700,-300 pip (-2.50%),✅
2025-06-23,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - NOK Remains Vulnerable,EUR/USD,+12M,2026-06-23,1.1500,1.2200,Yapısal USD zayıflığı ile EUR/USD yükselişi sürecek; ABD varlıklarından çıkış trendi destekliyor,,,⏳
2025-07-22,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/USD,+1M,2025-08-22,1.1700,1.1700,USD toparlanması geçici; EUR/USD trendinin henüz başında olduğu değerlendiriliyor,1.1700,0 pip (0.00%),✅
2025-07-22,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/USD,+3M,2025-10-22,1.1700,1.1900,USD toparlanması geçici; EUR/USD trendinin henüz başında olduğu değerlendiriliyor,1.1600,-300 pip (-2.52%),❌
2025-07-22,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/USD,+6M,2026-01-22,1.1700,1.2100,USD toparlanması geçici; EUR/USD trendinin henüz başında olduğu değerlendiriliyor,1.1600,-500 pip (-4.13%),❌
2025-07-22,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD Rebound is Temporary,EUR/USD,+12M,2026-07-22,1.1700,1.2300,USD toparlanması geçici; EUR/USD trendinin henüz başında olduğu değerlendiriliyor,,,⏳
2025-08-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/USD,+1M,2025-09-19,1.1700,1.1700,EUR/USD yükseliş trendi bozulmamış; reel faiz geçici USD desteği,1.1800,100 pip (0.85%),❌
2025-08-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/USD,+3M,2025-11-19,1.1700,1.1900,EUR/USD yükseliş trendi bozulmamış; reel faiz geçici USD desteği,1.1600,-300 pip (-2.52%),❌
2025-08-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/USD,+6M,2026-02-19,1.1700,1.2100,EUR/USD yükseliş trendi bozulmamış; reel faiz geçici USD desteği,1.1900,-200 pip (-1.65%),✅
2025-08-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Still Negative on SEK and NOK,EUR/USD,+12M,2026-08-19,1.1700,1.2300,EUR/USD yükseliş trendi bozulmamış; reel faiz geçici USD desteği,,,⏳
2025-09-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/USD,+1M,2025-10-19,1.1800,1.1700,Reel faiz toparlanması kısa vadede USD destekliyor; stratejik yükseliş bozulmadı,1.1600,-100 pip (-0.85%),✅
2025-09-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/USD,+3M,2025-12-19,1.1800,1.1900,Reel faiz toparlanması kısa vadede USD destekliyor; stratejik yükseliş bozulmadı,1.1700,-200 pip (-1.68%),❌
2025-09-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/USD,+6M,2026-03-19,1.1800,1.2100,Reel faiz toparlanması kısa vadede USD destekliyor; stratejik yükseliş bozulmadı,1.1600,-500 pip (-4.13%),❌
2025-09-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Rebound in Real Rates to Support USD Weigh on Scandies,EUR/USD,+12M,2026-09-19,1.1800,1.2300,Reel faiz toparlanması kısa vadede USD destekliyor; stratejik yükseliş bozulmadı,,,⏳
2025-10-21,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/USD,+1M,2025-11-21,1.1600,1.1500,EUR/USD taktiksel düşüş ama stratejik yükseliş; 2026 hedefler korunuyor,1.1600,100 pip (0.87%),⚠️
2025-10-21,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/USD,+3M,2026-01-21,1.1600,1.1800,EUR/USD taktiksel düşüş ama stratejik yükseliş; 2026 hedefler korunuyor,1.1600,-200 pip (-1.69%),⚠️
2025-10-21,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/USD,+6M,2026-04-21,1.1600,1.2000,EUR/USD taktiksel düşüş ama stratejik yükseliş; 2026 hedefler korunuyor,,,⏳
2025-10-21,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Upward Pressure on EUR/DKK,EUR/USD,+12M,2026-10-21,1.1600,1.2200,EUR/USD taktiksel düşüş ama stratejik yükseliş; 2026 hedefler korunuyor,,,⏳
2025-11-18,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/USD,+1M,2025-12-18,1.1600,1.1500,USD AI değerleme sorunlarını kısa vadede atlatacak; orta vadede zayıflık sürecek,1.1700,200 pip (1.74%),❌
2025-11-18,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/USD,+3M,2026-02-18,1.1600,1.1800,USD AI değerleme sorunlarını kısa vadede atlatacak; orta vadede zayıflık sürecek,1.1900,100 pip (0.85%),✅
2025-11-18,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/USD,+6M,2026-05-18,1.1600,1.2000,USD AI değerleme sorunlarını kısa vadede atlatacak; orta vadede zayıflık sürecek,,,⏳
2025-11-18,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - USD to Weather AI Valuation Woes,EUR/USD,+12M,2026-11-18,1.1600,1.2200,USD AI değerleme sorunlarını kısa vadede atlatacak; orta vadede zayıflık sürecek,,,⏳
2025-12-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/USD,+1M,2026-01-19,1.1700,1.1700,2026'da USD zayıflayacak; EUR/USD yükseliş yörüngesi korunuyor,1.1600,-100 pip (-0.85%),❌
2025-12-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/USD,+3M,2026-03-19,1.1700,1.1900,2026'da USD zayıflayacak; EUR/USD yükseliş yörüngesi korunuyor,1.1600,-300 pip (-2.52%),❌
2025-12-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/USD,+6M,2026-06-19,1.1700,1.2100,2026'da USD zayıflayacak; EUR/USD yükseliş yörüngesi korunuyor,,,⏳
2025-12-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Weaker USD GBP and NOK in 2026,EUR/USD,+12M,2026-12-19,1.1700,1.2300,2026'da USD zayıflayacak; EUR/USD yükseliş yörüngesi korunuyor,,,⏳
2026-01-19,Danske Bank,Mohamad Al-Saraf,PDF,FX Forecast Update - Geopolitics Takes Centre Stage as 2026 Kicks Off,EUR/USD,+1M,2026-02-19,1.1600,1.1700,Jeopolitik riskler artıyor; EUR/USD yükseliş yörüngesi sürüyor,1.1900,200 pip (1.71%),✅
